Generation	Performance
0	0.316573245272
1	0.450765825656
2	0.618817406986
3	0.980526204429
4	1.20007106308
5	1.58242365423
6	1.58016383452
7	1.65417553733
8	1.18944633167
9	1.42543365498
10	1.69248972407
11	1.71487162793
12	1.51603834017
13	1.34612753157
14	1.48686334577
15	1.15928203898
16	1.37043994011
17	1.64008204771
18	1.61702008239
19	1.6804580424
20	1.38429960714
21	1.7889723444
22	1.35970981727
23	1.50791175251
24	1.14938618663
25	1.44690715693
26	1.44197498455
27	1.40355585389
28	1.68954298591
29	1.56198791331
30	1.31936980324
31	1.55832136476
32	1.75609666458
33	1.3848917952
34	1.30734141456
35	1.32307070926
36	1.54284799654
37	1.54966459719
38	1.63984016312
39	1.7094103883
40	1.45195147832
41	1.55290547066
42	1.6720731922
43	1.2091313982
44	1.22635614221
45	1.28504733306
46	1.42381361145
47	1.17698897764
48	1.52472228499
49	1.48972592205
