Generation	Performance
0	0.321146354492
1	0.650307881453
2	1.31358542093
3	2.22068801562
4	2.3466452174
5	2.43302007898
6	2.39681985714
7	2.39076594918
8	2.11695322279
9	2.24006437569
10	2.77481687005
11	2.76544674874
12	2.66110259554
13	2.62875268773
14	2.8151400565
15	2.45643192793
16	2.9038075082
17	2.84036554523
18	2.8892149184
19	3.13857819112
20	2.70308952802
21	2.57126612991
22	2.69148088585
23	2.66882325953
24	2.79186202647
25	2.94498308761
26	3.00143588233
27	2.89422763655
28	2.72597861246
29	3.00510912265
30	2.68342456839
31	2.8254516296
32	2.87501231261
33	2.59256154409
34	2.55092065528
35	2.7854375658
36	2.81229592509
37	2.58931690408
38	3.12441402059
39	3.03158294143
40	2.60443749133
41	2.97670260368
42	2.8708419015
43	2.73409464508
44	2.60649279535
45	2.51704329005
46	2.67131909944
47	2.45758492685
48	2.62833586285
49	2.7438379698
